"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1076","validateEmptyUsernameField","Allure Suite","Fri May 09 15:06:37 EEST 2025","passed","Fri May 09 15:06:38 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateEmptyUsernameField"
"","965","validateLoginOfError_user","Allure Suite","Fri May 09 15:06:45 EEST 2025","passed","Fri May 09 15:06:45 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateLoginOfError_user"
"","1073","validateLoginOfVisual_user","Allure Suite","Fri May 09 15:06:59 EEST 2025","passed","Fri May 09 15:07:00 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateLoginOfVisual_user"
"","1916","TC_009_validateItemInCart","Allure Suite","Fri May 09 15:07:20 EEST 2025","passed","Fri May 09 15:07:22 EEST 2025","Tests.CartTest","SauceDemo Tests","Tests.CartTest","TC_009_validateItemInCart"
"","1128","validateInventoryPageNotEmpty","Allure Suite","Fri May 09 15:07:06 EEST 2025","passed","Fri May 09 15:07:08 EEST 2025","Tests.InventoryTest","SauceDemo Tests","Tests.InventoryTest","validateInventoryPageNotEmpty"
"","1606","validateSortByNameAZ","Allure Suite","Fri May 09 15:07:16 EEST 2025","passed","Fri May 09 15:07:17 EEST 2025","Tests.InventoryTest","SauceDemo Tests","Tests.InventoryTest","validateSortByNameAZ"
"","1025","validateInvalidCredentials","Allure Suite","Fri May 09 15:06:41 EEST 2025","passed","Fri May 09 15:06:42 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateInvalidCredentials"
"","1414","TC_012_cartPersistsAfterLogoutLogin","Allure Suite","Fri May 09 15:07:45 EEST 2025","passed","Fri May 09 15:07:46 EEST 2025","Tests.CartTest","SauceDemo Tests","Tests.CartTest","TC_012_cartPersistsAfterLogoutLogin"
"","1105","TC_013_checkoutWithEmptyCartShouldFail","Allure Suite","Fri May 09 15:07:48 EEST 2025","failed","Fri May 09 15:07:50 EEST 2025","Tests.CartTest","SauceDemo Tests","Tests.CartTest","TC_013_checkoutWithEmptyCartShouldFail"
"","12054","TC_010_validateItemRemoved","Allure Suite","Fri May 09 15:07:25 EEST 2025","passed","Fri May 09 15:07:37 EEST 2025","Tests.CartTest","SauceDemo Tests","Tests.CartTest","TC_010_validateItemRemoved"
"","1224","validateLoginOfStandard_user","Allure Suite","Fri May 09 15:06:55 EEST 2025","passed","Fri May 09 15:06:57 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateLoginOfStandard_user"
"","2213","TC_011_cartRetentionOnRefresh","Allure Suite","Fri May 09 15:07:40 EEST 2025","passed","Fri May 09 15:07:42 EEST 2025","Tests.CartTest","SauceDemo Tests","Tests.CartTest","TC_011_cartRetentionOnRefresh"
"","1114","validateEmptyPasswordField","Allure Suite","Fri May 09 15:06:33 EEST 2025","passed","Fri May 09 15:06:35 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateEmptyPasswordField"
"","1028","validateLoginOfLocked_out_user","Allure Suite","Fri May 09 15:06:48 EEST 2025","failed","Fri May 09 15:06:49 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateLoginOfLocked_out_user"
"","2854","validateProductNameAndPrice","Allure Suite","Fri May 09 15:07:10 EEST 2025","passed","Fri May 09 15:07:13 EEST 2025","Tests.InventoryTest","SauceDemo Tests","Tests.InventoryTest","validateProductNameAndPrice"
"","0","tearDownAndTakeScreenshot","Allure Suite","Fri May 09 14:42:36 EEST 2025","broken","Fri May 09 14:42:36 EEST 2025","Tests.InventoryTest","SauceDemo Tests","Tests.InventoryTest","tearDownAndTakeScreenshot"
"","0","tearDownAndTakeScreenshot","Allure Suite","Fri May 09 14:42:31 EEST 2025","broken","Fri May 09 14:42:31 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","tearDownAndTakeScreenshot"
"","1663","TC_026_validateRedirectToLoginAfterLogout","Allure Suite","Fri May 09 15:07:53 EEST 2025","passed","Fri May 09 15:07:54 EEST 2025","Tests.LogoutTest","SauceDemo Tests","Tests.LogoutTest","TC_026_validateRedirectToLoginAfterLogout"
"","1166","validateAddToCartAndBadgeCount","Allure Suite","Fri May 09 15:07:03 EEST 2025","passed","Fri May 09 15:07:04 EEST 2025","Tests.InventoryTest","SauceDemo Tests","Tests.InventoryTest","validateAddToCartAndBadgeCount"
"","1432","validateLoginOfProblem_user","Allure Suite","Fri May 09 15:06:51 EEST 2025","passed","Fri May 09 15:06:53 EEST 2025","Tests.LoginTest","SauceDemo Tests","Tests.LoginTest","validateLoginOfProblem_user"
"","1799","TC_027_validateBackButtonBlockedAfterLogout","Allure Suite","Fri May 09 15:07:57 EEST 2025","passed","Fri May 09 15:07:59 EEST 2025","Tests.LogoutTest","SauceDemo Tests","Tests.LogoutTest","TC_027_validateBackButtonBlockedAfterLogout"
